NUR,X460,Maternal/Infant/Child Health,0.5,Health Science
NUR,X460C,Maternal/Infant/Child Health,0.5,Health Science
NUR,X460L,Maternal/Infant/Child Health,0.5,Health Science
NUR,X462C,Nursing III,1,Health Science
NUR,X463C,Maternal/Infant/Child Health,0.5,Health Science
NUR,X500C,LPN-RN Transition: Mental Health Nursing,0.5,Health Science
NUR,X502C,Nursing Care for Community and Mental Health,0.5,Health Science
NUR,X520,Psychiatric/Mental Health Nursing,0.5,Health Science
NUR,X520C,Psychiatric/Mental Health Nursing,0.5,Health Science
NUR,X521C,Psychiatric/Mental Health Nursing,0.5,Health Science
NUR,X522C,Mental Health Nursing Theory,0.5,Health Science
NUR,X523C,Psychiatric Nursing with Mental Health,0.5,Health Science
NUR,X600C,Nursing of the Family,1.5,Health Science
NUR,X636,Community Nursing,0.5,Health Science
NUR,X636C,Community Nursing,0.5,Health Science
NUR,X667,Globalization of Nursing Practice,0.5,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
NUR,X675,Population Based Care: Rural Culture,0.5,Health Science
NUR,X678,Nursing Care of Vulnerable Populations,0.5,Health Science
NUR,X678L,Nursing Care of Vulnerable Populations,0.5,Health Science
NUR,X710C,Integrated Medical-Surgical Nursing (L),1.5,Health Science
NUR,X730C,Comprehensive Nursing Process (1st in series),1.5,Health Science
NUR,X731C,Lifespan (8-12 Credits),1.5,Health Science
NUR,X732C,Compreh. Nursing Process (2nd in series),1.5,Health Science
NUR,X744C,Comprehensive Nursing Process: Systems,1.5,Health Science
NUR,X750L,Lifespan. Variety of Setting,0.5,Health Science
NUR,X801,LPN-Rn Trans: Leadership and Management,0.5,Health Science
NUR,X801C,LPN-RN Trans: Leadership and Management,0.5,Health Science
NUR,X801L,LPN-RN Trans: Leadership and Management,0.5,Health Science
NUR,X804C,Nursing Roles and Leadership,0.5,Health Science
NUR,X805,Nursing: Role and Scope,0.5,Health Science
NUR,X811,Management of Altered Health States,0.5,Health Science
NUR,X811C,Management of Altered Health States,0.5,Health Science
NUR,X826,Ethics in Nursing,0.5,Health Science
NUR,X827,Nursing Leadership and Management (3-8 Credits),0.5,Health Science
NUR,X827C,Nursing Leadership and Management (3-8 Credits),0.5,Health Science
NUR,X870,Nursing Informatics,0.5,Health Science
NUR,X933,Special Topics/Seminars,0.5,Health Science
NUR,X934,Special Topics/Seminars,0.5,Health Science
NUR,X940L,Internships/Practicums/Clinical Practice,0.5,Health Science
NUR,X943C,Internships/Practicums/Clinical Practice,0.5,Health Science
NUR,X950,Professional Role Development and Transition Practice,0.5,Health Science
OPT,5,Optometric Assistant (1 of 3) OCP B (330 hours),2,Health Science
OPT,6,Optometric Assistant (2 of 3) OCP B (330 hours),2,Health Science
OPT,7,Optometric Assistant (3 of 3) OCP B (330 hours),2,Health Science
OPT,X060,Office Management,0.5,Health Science
OPT,X110,Physical and Geometrical Optics,0.5,Health Science
OPT,X150,Ophthalmic Lenses,0.5,Health Science
OPT,X155,Ophthalmic Lenses I,0.5,Health Science
OPT,X204,Anatomy and Physiology,0.5,Health Science
OPT,X205,"Ocular Anatomy, Physiology, and Pathophysiology",0.5,Health Science
OPT,X210,Anatomy and Physiology of the Eye,0.5,Health Science
OPT,X330,Clinical Data Collection I,0.5,Health Science
OPT,X421C,Eyewear Fabrication 2,0.5,Health Science
OPT,X421L,Eyewear Fabrication 2,0.5,Health Science
OPT,X422C,Eyewear Fabrication 3,0.5,Health Science
OPT,X461,Ophthalmic Dispensing II,0.5,Health Science
OPT,X505,Contact Lenses I,0.5,Health Science
OPT,X802L,Vision Care Clinic III,0.5,Health Science
OPT,X910,Directed Independent Research,0.5,Health Science
ORH,802,Landscaping and Groundskeeping (450 hours),3,"Agriculture, Food & Natural Resources"
ORH,803,Landscaping and Groundskeeping Supervisors (150 hours),1,"Agriculture, Food & Natural Resources"
ORH,862,Nursery Workers OCP A (300 hours),2,"Agriculture, Food & Natural Resources"
ORH,863,Nursery & Greenhouse Managers 1 OCP B (450 hours),3,"Agriculture, Food & Natural Resources"
ORH,864,Nursery & Greenhouse Managers 2 OCP C (150 hours),1,"Agriculture, Food & Natural Resources"
ORH,0862L,Nursery Workers OCP A (300 hours),2,"Agriculture, Food & Natural Resources"
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
ORH,0863L,Nursery & Greenhouse Managers 1 OCP B (450 hours),3,"Agriculture, Food & Natural Resources"
ORH,0864L,Nursery & Greenhouse Managers 2 OCP C (150 hours),1,"Agriculture, Food & Natural Resources"
OST,X100,Beginning Typewriting (1 of 1),0.5,Business Management & Administration
OST,X100C,Beginning Typewriting (1 of 1),0.5,Business Management & Administration
OST,X110,Intermediate Typewriting (1 of 1),0.5,Business Management & Administration
OST,X110C,Intermediate Typewriting (1 of 1),0.5,Business Management & Administration
OST,X145,Data Entry Applications (3 hours),0.5,Business Management & Administration
OST,X335,Business Writing,0.5,Business Management & Administration
OST,X335C,Business Writing,0.5,Business Management & Administration
OST,X336,Business Communications,0.5,Business Management & Administration
OST,X581,Professional Development in the Work Environment,0.5,Business Management & Administration
OST,X854C,Microsoft Office,0.5,Business Management & Administration
OTA,30,Assistant Digital Production Designer OCP C (150 hours),1,Career/Technical Education
OTA,39,Course Reporting Fundamentals (150 hours),1,"Law, Public Safety & Security"
OTA,40,Information Technology Assistant OCP A (150 hours),1,Career/Technical Education
OTA,41,Front Desk Specialist OCP B (300 hours),2,Business Management & Administration
OTA,42,Administrative Support OCP C (150 hours),1,Business Management & Administration
OTA,43,Administrative Assistant OCP D (450 hours),3,Business Management & Administration
OTA,44,Court Reporting Transcriptionist 1 (1 of 3) (300 hours),1,"Law, Public Safety & Security"
OTA,45,Course Reporting Transcriptionist 2 (2 of 3) (300 hours),2,"Law, Public Safety & Security"
OTA,46,Court Reporting Transcriptionist 3 (3 of 3) (150 hours),1,"Law, Public Safety & Security"
OTA,47,Court Reporting Scopist (450 hours),4,"Law, Public Safety & Security"
OTA,48,Court Reporter (1 of 4) (412 hours),2.5,"Law, Public Safety & Security"
OTA,49,Court Reporter (2 of 4) (412 hours),2.5,"Law, Public Safety & Security"
OTA,50,Legal Administrative Specialist OCP D (450 hours),3,"Law, Public Safety & Security"
OTA,51,Court Reporter (3 of 4) (412 hours),2.5,"Law, Public Safety & Security"
OTA,52,Court Reporter (4 of 4) (414 hours),2.5,"Law, Public Safety & Security"
OTA,631,Medical Office Technologist OCP C (300 hours),2,Health Science
OTA,651,Medical Administrative Specialist OCP D (300 hours),2,Health Science
OTA,0631C,Medical Office Technologist OCP C (300 hours),2,Health Science
OTA,0651C,Medical Administrative Specialist OCP D (300 hours),2,Health Science
OTH,X001,Survey of Occupational Therapy (L),0.5,Health Science
OTH,X001C,Survey of Occupational Therapy (L),0.5,Health Science
OTH,X003,Human Occupation Across the Lifespan,0.5,Health Science
OTH,X003C,Human Occupation Across the Lifespan,0.5,Health Science
OTH,X014C,Kinesiology for Occupational Therapy,0.5,Health Science
OTH,X019C,Functional Anatomy & Kinesiology/Lab,0.5,Health Science
OTH,X125C,Therapeutic Modalities,0.5,Health Science
OTH,X131C,Activity Analysis and Lab,1,Health Science
OTH,X261C,Occupational Therapy Skills & Techniques I,0.5,Health Science
OTH,X264C,Occupational Therapy Skills & Techniques II,0.5,Health Science
OTH,X300,Foundations of Psychosocial Dysfunction (L),0.5,Health Science
OTH,X300C,Foundations of Psychosocial Dysfunction (L),0.5,Health Science
OTH,X410,Medical Problems Related to Rehab,0.5,Health Science
OTH,X420C,Occ Therapy for Phys Disabled,0.5,Health Science
OTH,X520C,Pediatric Occup Therapy,0.5,Health Science
OTH,X802L,Practicum,0.5,Health Science
OTH,X840,Clinical Practice,0.5,Health Science
OTH,X840L,Clinical Practice,0.5,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
OTH,X841,Clinical Practice,0.5,Health Science
OTH,X841L,Clinical Practice,0.5,Health Science
PEP,110,Personal Trainer (600 hours),4,Health Science
PGY,180,Photographic Imaging Specialist 1,1.5,Career/Technical Education
PGY,181,Photographic Imaging Specialist 2,1.5,Career/Technical Education
PGY,182,Photography Specialist/Lab Technician,1,Career/Technical Education
PGY,183,Portrait Photographer 1,1.5,Career/Technical Education
PGY,184,Portrait Photographer 2,1.5,Career/Technical Education
PGY,185,Commercial Photographer,3,Career/Technical Education
PGY,190,Photography Specialist (150 hours),1,Career/Technical Education
PGY,191,Photography Technician (300 hours),2,Career/Technical Education
PGY,192,Studio Photographer (300 hours),2,Career/Technical Education
PGY,193,Digital Photographer (300 hours),2,Career/Technical Education
PHT,90,Orthopedic Technologist 1 (355 hours),2,Health Science
PHT,91,Orthopedic Technologist 2 (355 hours),2,Health Science
PHT,X000,Introduction to Physical Therapy (L),0.5,Health Science
PHT,X000C,Introduction to Physical Therapy (L),0.5,Health Science
PHT,X006,Introduction to Physical Therapy,0.5,Health Science
PHT,X007,Topics in Physical Therapy I (U),0.5,Health Science
PHT,X007C,Topics in Physical Therapy I (U),0.5,Health Science
PHT,X102,Applied Anatomy,0.5,Health Science
PHT,X120,Applied Kinesiology (L),0.5,Health Science
PHT,X120C,Applied Kinesiology (L),0.5,Health Science
PHT,X121,Functional Anatomy & Kinesiology (L),0.5,Health Science
PHT,X121C,Functional Anatomy & Kinesiology (L),0.5,Health Science
PHT,X124C,Functional Human Motion (L),1,Health Science
PHT,X128,Functional Anatomy and Kinesiology I (L),0.5,Health Science
PHT,X128C,Functional Anatomy and Kinesiology I (L),0.5,Health Science
PHT,X129C,Functional Anatomy and Kinesiology II (L),0.5,Health Science
PHT,X130C,PTA Assessment I (L),0.5,Health Science
PHT,X132,Musculoskeletal PT (L),0.5,Health Science
PHT,X132C,Musculoskeletal PT (L),0.5,Health Science
PHT,X140,PTA Assessment II (L),0.5,Health Science
PHT,X162,Clinical Neuroscience (U),0.5,Health Science
PHT,X162C,Clinical Neuroscience (U),0.5,Health Science
PHT,X175C,Functional Anatomy/Kinesiology (L),0.5,Health Science
PHT,X200,Basic Patient Care (L),0.5,Health Science
PHT,X200C,Basic Patient Care (L),0.5,Health Science
PHT,X210,Therapeutic Modalities (L),0.5,Health Science
PHT,X210C,Therapeutic Modalities (L),0.5,Health Science
PHT,X210L,Therapeutic Modalities (L),0.5,Health Science
PHT,X211C,Disabilities & Therapeutic Procedures (L),1,Health Science
PHT,X212C,Therapeutic Modalities (L),0.5,Health Science
PHT,X213,Therapeutic Exercise I,0.5,Health Science
PHT,X213C,Therapeutic Exercise I,0.5,Health Science
PHT,X217,Physical Therapy Principles and Procedures (L),0.5,Health Science
PHT,X220,Therapeutic Exercise in P.T. (L),0.5,Health Science
PHT,X220C,Therapeutic Exercise in P.T. (L),0.5,Health Science
PHT,X221C,Therapeutic Exercise in Physical Therapy II (L),0.5,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
PHT,X224,Disabilities & Therapeutic Procedures (L),0.5,Health Science
PHT,X224C,Disabilities & Therapeutic Procedures (L),0.5,Health Science
PHT,X225,Therapeutic Procedures (L),0.5,Health Science
PHT,X225C,Therapeutic Procedures (L),0.5,Health Science
PHT,X226,Basic Therapeutic Exercise (U),0.5,Health Science
PHT,X227C,Disabilities & Therapeutic Procedures (L),0.5,Health Science
PHT,X228C,Therapeutic Exercise II (L),0.5,Health Science
PHT,X250C,Introduction to Basic Patient Care (L),0.5,Health Science
PHT,X252,Orthopedic Disabilities and Rehabilitation (L),0.5,Health Science
PHT,X252C,Orthopedic Disabilities and Rehabilitation (L),0.5,Health Science
PHT,X253,Neurological Disabilities and Treatment (L),0.5,Health Science
PHT,X253C,Neurological Disabilities and Treatment (L),0.5,Health Science
PHT,X300,Medical Surgical Conditions (L),0.5,Health Science
PHT,X301,Pathological Conditions in Physical Therapy (L),0.5,Health Science
PHT,X304,Pathological Conditions in Physical Therapy II,0.5,Health Science
PHT,X310,Orthopedic Evaluation and Treatment (L),0.5,Health Science
PHT,X321C,Disabilities and Physical Therapy Proc. III (L),0.5,Health Science
PHT,X337C,Disabilities and Physical Therapy Proc. II (L),0.5,Health Science
PHT,X701,Rehabilitative Procedures (L),0.5,Health Science
PHT,X704,Rehabilitative Procedures (L),0.5,Health Science
PHT,X800,Physical Therapy Clinical Practice I (L),1,Health Science
PHT,X800L,Physical Therapy Clinical Practice I (L),0.5,Health Science
PHT,X801,Clinical Practice (First Course) (L),0.5,Health Science
PHT,X801L,Clinical Practice (First Course) (L),0.5,Health Science
PHT,X810,Clinical Practice (Second Course) (L),1,Health Science
PHT,X810L,Clinical Practice (Second Course) (L),0.5,Health Science
PHT,X820,Clinical Practice (Third Course) (L),1,Health Science
PHT,X820L,Clinical Practice (Third Course) (L),0.5,Health Science
PLA,X001,Fundamentals of Law,0.5,"Law, Public Safety & Security"
PLA,X003,Introd. to Legal Technology and Systems,0.5,"Law, Public Safety & Security"
PLA,X003C,Introd. to Legal Technology and Systems,0.5,"Law, Public Safety & Security"
PLA,X005,Legal Terminology,0.5,"Law, Public Safety & Security"
PLA,X013,Introduction to the Legal System,0.5,"Law, Public Safety & Security"
PLA,X103,Legal Research and Writing I,0.5,"Law, Public Safety & Security"
PLA,X104,Legal Research and Writing I,0.5,"Law, Public Safety & Security"
PLA,X114,Legal Research and Writing II,0.5,"Law, Public Safety & Security"
PLA,X190,Legal Reasoning,0.5,"Law, Public Safety & Security"
PLA,X200,Civil and Criminal Survey,0.5,"Law, Public Safety & Security"
PLA,X201,Civil Litigation I and II (1 sem.),0.5,"Law, Public Safety & Security"
PLA,X202,Torts and Litigation,0.5,"Law, Public Safety & Security"
PLA,X203,Civil Litigation I,0.5,"Law, Public Safety & Security"
PLA,X223,Civil Litigation II,0.5,"Law, Public Safety & Security"
PLA,X260,Evidence,0.5,"Law, Public Safety & Security"
PLA,X271,Torts and Criminal Law,0.5,"Law, Public Safety & Security"
PLA,X732C,Computers in Law Office Management,0.5,"Law, Public Safety & Security"
PMT,11,Welder Helper OCP (250 hours),1.5,Manufacturing
PMT,12,"Welder, Shielded Metal ARC, OCP B (250 hours)",2,Manufacturing
PMT,13,"Welder, Gas-Metal ARC OCP C (125 hours)",1,Manufacturing
PMT,14,"Welder, Flux Cored ARC OCP D (100 hours)",0.5,Manufacturing
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
PMT,15,"Welder, Gas-Tungsten ARC OCP E (175 hours)",1,Manufacturing
PMT,16,"Welder, Pipe OCP F (270 hours)",2,Manufacturing
PMT,20,Machinist Helper OCP A (300 hours),2,Career/Technical Education
PMT,21,Machine Operator OCP B (450 hours),3,Manufacturing
PMT,22,Machinist Operator (300 hours),2,Manufacturing
PMT,23,Machine Setup Operator OCP C (450 hours),3,Manufacturing
PMT,24,Machinist Setup Operator,4,Manufacturing
PMT,25,Machinist OCP D (300 hours),2,Manufacturing
PMT,26,CNC Production Technician I (300 hours),2,Manufacturing
PMT,27,CNC Production Technician II (300 hours),2,Manufacturing
PMT,70,Welder Assistant 1 (150 hours),1,Career/Technical Education
PMT,71,Welder Assistant 2 (150 hours),1,Career/Technical Education
PMT,71,Welder Assistant 2 (150 hours),1,Manufacturing
PMT,72,"Welder, SMAW 1 (150 hours)",1,Career/Technical Education
PMT,72,"Welder, SMAW 1 (150 hours)",1,Manufacturing
PMT,73,"Welder, SMAW 2 (150 hours)",1,Career/Technical Education
PMT,73,"Welder, SMAW 2 (150 hours)",1,Manufacturing
PMT,74,Welder (450 hours),3,Manufacturing
PMT,75,Advanced Welder 1 (600 hours),4,Manufacturing
PMT,76,Advanced Welder 2 (150 hours),1,Manufacturing
PMT,80,Welder I,0.5,Manufacturing
PMT,81,Welder II,0.5,Manufacturing
PMT,82,Welder III,0.5,Manufacturing
PMT,101,Blueprint Reading for Welders,0.5,Manufacturing
PMT,104,Fundamentals of Metallurgy,0.5,Manufacturing
PMT,106,Basic Welding Procedures (Shop Skills),0.5,Manufacturing
PMT,108,Introduction to Welding,0.5,Manufacturing
PMT,109,Introduction to Welding II,0.5,Manufacturing
PMT,112,Advanced Oxy-Acetylene,0.5,Manufacturing
PMT,121,Electrical Welding (ARC),0.5,Manufacturing
PMT,122,Advanced Electrical Welding (ARC),0.5,Manufacturing
PMT,126,Shielded Metal ARC Welding,0.5,Manufacturing
PMT,127,Shielded Metal ARC Welding- Advanced,0.5,Manufacturing
PMT,131,TIG Welding,0.5,Manufacturing
PMT,134,MIG Welding,0.5,Manufacturing
PMT,137,Gas Tungsten ARC Welding Lab 1,0.5,Manufacturing
PMT,138,Advanced TIG/MIG,0.5,Manufacturing
PMT,139,Introduction to Inert Gas Welding,0.5,Manufacturing
PMT,140,Introduction to Gas Metal ARC Welding,0.5,Manufacturing
PMT,141,Flux Core,0.5,Manufacturing
PMT,143,Flux Core ARC Welding,0.5,Manufacturing
PMT,145,Combined GMAW & FCAW,0.5,Manufacturing
PMT,147,Gas Metal ARC Welding,0.5,Manufacturing
PMT,150,Gas Tungsten ARC Welding,0.5,Manufacturing
PMT,151,Gas Tungsten ARC Welding- Advanced,0.5,Manufacturing
PMT,154,Specialized Welding- Plasma ARC,0.5,Manufacturing
PMT,161,Pipe Welding,0.5,Manufacturing
PMT,165,Adv Shielded Metal/ARC Welding of Pipe,0.5,Manufacturing
PMT,168,Pipe Welding Advanced,0.5,Manufacturing
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
PMT,171,TIG Pipe,0.5,Manufacturing
PMT,182,Adv Non-Destructive Testing in Welding,0.5,Manufacturing
PMT,183,Overhead Structural Welding Certification,0.5,Manufacturing
PMT,203,Introduction to Machining,0.5,Manufacturing
PMT,213,Lathes,0.5,Manufacturing
PMT,214,Advanced Machining II,0.5,Manufacturing
PMT,250,Intro to CNC Machining,0.5,Manufacturing
PMT,254,CNC Machining Tool Programming II,0.5,Manufacturing
PMT,630,Jewelry Designer OCP B (450 hours),3,Career/Technical Education
PMT,632,Stone Setter OCP C (150 hours),1,Career/Technical Education
PMT,640,Wax Modeler/Casting OCP A (150 hours),1,Career/Technical Education
PMT,641,Jewelry Repairer OCP B (300 hours),2,Career/Technical Education
PMT,645,Certified Jeweler OCP D (150 hours),1,Career/Technical Education
PMT,650,"Clock, Watch and Jewelry Technician Assistant OCP A (450 hours)",3,Career/Technical Education
PMT,0070C,Welder Assistant 1 (150 hours),1,Career/Technical Education
PMT,0071C,Welder Assistant 2 (150 hours),1,Career/Technical Education
PMT,0071C,Welder Assistant 2 (150 hours),1,Manufacturing
PMT,0072C,"Welder, SMAW 1 (150 hours)",1,Career/Technical Education
PMT,0072C,"Welder, SMAW 1 (150 hours)",1,Manufacturing
PMT,0073C,"Welder, SMAW 2 (150 hours)",1,Career/Technical Education
PMT,0073C,"Welder, SMAW 2 (150 hours)",1,Manufacturing
PMT,0074C,Welder (450 hours),3,Manufacturing
PMT,0075C,Advanced Welder 1 (600 hours),4,Manufacturing
PMT,0076C,Advanced Welder 2 (150 hours),1,Manufacturing
PMT,0077C,Advanced Welder 1A,2.5,Manufacturing
PMT,0078C,Advanced Welder 1B,1.5,Manufacturing
PMT,0080C,Welder I,1,Manufacturing
PMT,0081C,Welder II,1,Manufacturing
PMT,0082C,Welder III,1,Manufacturing
PMT,0106C,Basic Welding Procedures (Shop Skills),0.5,Manufacturing
PMT,0108C,Introduction to Welding,0.5,Manufacturing
PMT,0109C,Introduction to Welding II,0.5,Manufacturing
PMT,0111C,Oxy-Acetylene Welding,1,Manufacturing
PMT,0121C,Electrical Welding (ARC),0.5,Manufacturing
PMT,0121L,Electrical Welding (ARC),0.5,Manufacturing
PMT,0122C,Advanced Electrical Welding (ARC),0.5,Manufacturing
PMT,0122L,Advanced Electrical Welding (ARC),0.5,Manufacturing
PMT,0126C,Shielded Metal ARC Welding,0.5,Manufacturing
PMT,0127C,Shielded Metal ARC Welding- Advanced,0.5,Manufacturing
PMT,0131C,TIG Welding,0.5,Manufacturing
PMT,0131L,TIG Welding,0.5,Manufacturing
PMT,0134C,MIG Welding,0.5,Manufacturing
PMT,0137C,Gas Tungsten ARC Welding Lab 1,0.5,Manufacturing
PMT,0137L,Gas Tungsten ARC Welding Lab 1,0.5,Manufacturing
PMT,0138C,Advanced TIG/MIG,0.5,Manufacturing
PMT,0138L,Advanced TIG/MIG,0.5,Manufacturing
PMT,0141C,Flux Core,0.5,Manufacturing
PMT,0143C,Flux Core ARC Welding,0.5,Manufacturing
PMT,0145C,Combined GMAW & FCAW,1.5,Manufacturing
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
PMT,0147C,Gas Metal ARC Welding,0.5,Manufacturing
PMT,0150C,Gas Tungsten ARC Welding,0.5,Manufacturing
PMT,0151C,Gas Tungsten ARC Welding- Advanced,0.5,Manufacturing
PMT,0154C,Specialized Welding- Plasma ARC,0.5,Manufacturing
PMT,0161C,Pipe Welding,0.5,Manufacturing
PMT,0161L,Pipe Welding,0.5,Manufacturing
PMT,0164C,Shielded Welding/ARC Welding of Pipe,0.5,Manufacturing
PMT,0165C,Adv Shielded Metal/ARC Welding of Pipe,0.5,Manufacturing
PMT,0165L,Adv Shielded Metal/ARC Welding of Pipe,0.5,Manufacturing
PMT,0168L,Pipe Welding Advanced,0.5,Manufacturing
PMT,0171C,TIG Pipe,0.5,Manufacturing
PMT,0203C,Introduction to Machining,0.5,Manufacturing
PMT,0213C,Lathes,0.5,Manufacturing
PMT,0214C,Advanced Machining II,0.5,Manufacturing
PMT,0214L,Advanced Machining II,0.5,Manufacturing
PMT,0250C,Intro to CNC Machining,0.5,Manufacturing
PMT,0254C,CNC Machining Tool Programming II,0.5,Manufacturing
PMT,0751L,Shielded Metal ARC Welding Lab 1,0.5,Manufacturing
PMT,0752L,Shielded Metal ARC Welding Lab 2,0.5,Manufacturing
PRN,0,Nursing Process and Fundamental Skills,0.5,Health Science
PRN,1,Basic Nursing Skills- Theory,1,Health Science
PRN,90,Nurse Aide and Orderly OCP A (120 hours),0.5,Health Science
PRN,91,Practical Nurse (1 of 4) OCP C (300 hours),1.5,Health Science
PRN,92,Practical Nurse (2 of 4) OCP C (300 hours),1.5,Health Science
PRN,96,Practical Nurse (3 of 3) 450 hours,3,Health Science
PRN,98,Practical Nursing Foundations 1 (300 hours),2,Health Science
PRN,99,Practical Nursing Foundation 2 (300 hours),2,Health Science
PRN,120,"Maternity, Newborn and Pediatric Nursing- Theory",0.5,Health Science
PRN,290,Medical Surgical Nursing 1 (300 hours),2,Health Science
PRN,291,Medical Surgical Nursing 2 (300 hours),2,Health Science
PRN,379,Medical-Surgical Nursing w/Clinical (411 hours),1.5,Health Science
PRN,690,Comprehensive Nursing and Transitional Skills (150 hours),1,Health Science
PRN,0000C,Nursing Process and Fundamental Skills,1,Health Science
PRN,0000L,Nursing Process and Fundamental Skills,1,Health Science
PRN,0001C,Basic Nursing Skills- Theory,3,Health Science
PRN,0001L,Basic Nursing Skills- Theory,1.5,Health Science
PRN,0004C,Introduction to Medical Surgical Nursing,3,Health Science
PRN,00379L,Medical-Surgical Nursing w/Clinical (411 hours),1.5,Health Science
PRN,0042C,Home Health and Rehabilitation Nursing,1,Health Science
PRN,0063C,Practical Nursing I,2,Health Science
PRN,0091C,Practical Nurse (1 of 4) OCP C (300 hours),1.5,Health Science
PRN,0091L,Practical Nurse (1 of 4) OCP C (300 hours),0.5,Health Science
PRN,0092C,Practical Nurse (2 of 4) OCP C (300 hours),3,Health Science
PRN,0092L,Practical Nurse (2 of 4) OCP C (300 hours),1,Health Science
PRN,0096C,Practical Nurse (3 of 3) 450 hours,3,Health Science
PRN,0096L,Practical Nurse (3 of 3) 450 hours,1.5,Health Science
PRN,0099C,Practical Nursing Foundation 2 (300 hours),2,Health Science
PRN,0100C,Maternity & Newborn Nursing- Clinical,0.5,Health Science
PRN,0120C,"Maternity, Newborn and Pediatric Nursing- Theory",1,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
PRN,0121C,"Maternal/Newborn, Pediatric, and Mental Health (290 hours)",1.5,Health Science
PRN,0126C,Practical Nursing Process 3,1.5,Health Science
PRN,0207C,Medical-Surgical Nursing,3,Health Science
PRN,0290C,Medical Surgical Nursing 1 (300 hours),2,Health Science
PRN,0291C,Medical Surgical Nursing 2 (300 hours),2,Health Science
PRN,0380C,Medical Surgical Theory & Medical Surgical Clinical,3.5,Health Science
PRN,0381C,Introduction to Medical/Surgical Nursing Including Pediatrics,2,Health Science
PRN,0382C,Medical Surgical Nursing Including Pediatrics,2,Health Science
PRN,0383C,Medical/Surgical Nursing III- Theory & Clinical,1,Health Science
PRN,0384L,Medical Surgical IIB,1,Health Science
PRN,0690C,Comprehensive Nursing and Transitional Skills (150 hours),1,Health Science
PRN,098C,Practical Nursing Foundations 1 (300 hours),2,Health Science
PTN,23,General Pharmacology,0.5,Health Science
PTN,30,Retail Pharmacy Operations,1.5,Health Science
PTN,31,Hospital Pharmacy Operations,1.5,Health Science
PTN,84,Pharmacy Technician (1 of 3) 360 hours,2,Health Science
PTN,85,Pharmacy Technician (2 of 3) 300 hours,1,Health Science
PTN,86,Pharmacy Technician (3 of 3) 300 hours,2,Health Science
PTN,0084C,Pharmacy Technician (1 of 3) 360 hours,2,Health Science
PTN,0084L,Pharmacy Technician (1 of 3) 360 hours,0.5,Health Science
PTN,0085C,Pharmacy Technician (2 of 3) 300 hours,2,Health Science
PTN,0085L,Pharmacy Technician (2 of 3) 300 hours,1,Health Science
PTN,0086L,Pharmacy Technician (3 of 3) 300 hours,1.5,Health Science
PTN,X001C,Intro to Pharmacy,0.5,Health Science
PTN,X017,Pharmacy Technician Math,0.5,Health Science
PTN,X121,Pharmacological Agents I,0.5,Health Science
PTN,X122,Pharmacological Agents II,0.5,Health Science
PTN,X122C,Pharmacological Agents II,0.5,Health Science
PTN,X131,Applied Pharmacy Operations I,0.5,Health Science
PTN,X131C,Applied Pharmacy Operations I,1,Health Science
PTN,X131L,Applied Pharmacy Operations I,0.5,Health Science
PTN,X134L,Applied Pharmacy Operations II,0.5,Health Science
PTN,X941,Internships/Practicums/Clinical Practice,0.5,Health Science
PTN,X941C,Internships/Practicums/Clinical Practice,0.5,Health Science
PTN,X941L,Internships/Practicums/Clinical Practice,0.5,Health Science
PTN,X942C,Pharmacy Technician Practicum III,0.5,Health Science
PTN,X942L,Pharmacy Technician Practicum III,0.5,Health Science
RAT,X001,Introduction to Radiation Therapy,0.5,Health Science
RAT,X023,Introduction to Oncological Medicine (L),0.5,Health Science
RAT,X024,Radiation Oncology II,0.5,Health Science
RAT,X061,Radiation Therapy Seminar,0.5,Health Science
RAT,X123,Patient Care (L),0.5,Health Science
RAT,X242,Oncological Medicine (L/U),0.5,Health Science
RAT,X617,Advanced Radiation Physics I (L),0.5,Health Science
RAT,X619L,Radiation Therapy Physics III (L),0.5,Health Science
RAT,X620,Radiation Therapy Physics III (L),0.5,Health Science
RAT,X620C,Radiation Therapy Physics III (L),0.5,Health Science
RAT,X814,Clinical Education II (L),0.5,Health Science
RAT,X814L,Clinical Education II (L),1,Health Science
,,2024-2025 Career Dual Enrollment - High School Dubject Area Equivalency List,,
RAT,X824,Clinical Education III (L/U),0.5,Health Science
RAT,X824L,Clinical Education III (L/U),1,Health Science
RAT,X834,Clinical Education IV (L),0.5,Health Science
RAT,X834L,Clinical Education IV (L),1,Health Science
REE,40,FREC I,0.5,"Marketing, Sales and Services"
RET,X007,Pharmacology for Respiratory Care,0.5,Health Science
RET,X024,Introduction to Respiratory Care,0.5,Health Science
RET,X024C,Introduction to Respiratory Care,0.5,Health Science
RET,X024L,Introduction to Respiratory Care,0.5,Health Science
RET,X025,Respiratory Therapy Laboratory IV,0.5,Health Science
RET,X025C,Respiratory Therapy Laboratory IB,0.5,Health Science
